YEAR,MAKE,MODEL,COLOR,INTERIOR,BODY,TOTAL_REVENUE,UNITS_SOLD,MONTH_SALE,AVG_PRICE,AVG_MILEAGE,MARKET_POSITION
2014,Dodge,Charger,white,black,Sedan,638850,32,Feb,19964.06,21295,Above Market
2014,Chrysler,Town and Country,silver,black,Minivan,638500,34,Feb,18779.41,31393,Above Market
2013,Nissan,Altima,gray,black,sedan,638100,54,Jun,11816.67,42250,Below Market
2011,Nissan,Rogue,black,black,SUV,637600,41,Jan,15551.22,34810,Above Market
2012,Infiniti,M,black,black,sedan,637350,28,Jun,22762.5,39616,Below Market
2013,Mercedes-Benz,E-Class,black,black,Sedan,637350,20,Feb,31867.5,22166,Above Market
2013,Ford,E-Series Van,white,gray,E-Series Van,636950,35,Feb,18198.57,31706,Below Market
2013,Ford,Fusion,—,black,Sedan,636950,46,Jan,13846.74,37051,Below Market
2013,Nissan,Altima,silver,black,Sedan,636801,45,Jan,14151.13,38390,Above Market
2012,Honda,Accord,white,beige,Sedan,636600,44,Jan,14468.18,30236,Above Market
2014,,,black,black,,636500,29,Feb,21948.28,17543,Above Market
2012,Honda,Odyssey,black,gray,Minivan,636150,29,Feb,21936.21,35731,Above Market
2014,Chevrolet,Cruze,black,black,Sedan,635000,52,Feb,12211.54,30325,Below Market
2014,Ford,Fusion,white,black,Sedan,635000,37,Jan,17162.16,27912,Above Market
